objid,sample,asset_id,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,image_path
587722981741756545,original,11,587722981741756545,12:15:18.25,-01:06:35.5,64,0.891,0.016,0.016,0.016,0.062,0.0,0.047,0.841,0.093,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\11.jpg
587722981748113567,original,100,587722981748113567,13:13:28.44,-01:12:40.4,36,0.306,0.0,0.0,0.056,0.083,0.556,0.056,0.268,0.071,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\100.jpg
587722981748179130,original,101,587722981748179130,13:14:06.37,-01:12:18.5,30,0.367,0.033,0.167,0.333,0.1,0.0,0.533,0.084,0.78,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\101.jpg
587722981748375756,original,102,587722981748375756,13:15:52.42,-01:06:19.6,33,0.364,0.0,0.364,0.152,0.061,0.061,0.515,0.154,0.7,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\102.jpg
587722981748375801,original,103,587722981748375801,13:16:04.92,-01:11:21.5,54,0.667,0.0,0.037,0.093,0.185,0.019,0.13,0.667,0.13,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\103.jpg
587722981748572353,original,105,587722981748572353,13:17:49.10,-01:12:13.6,50,0.96,0.0,0.0,0.02,0.02,0.0,0.02,0.953,0.027,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\105.jpg
587722981748637919,original,106,587722981748637919,13:18:20.01,-01:05:30.1,37,0.027,0.811,0.0,0.027,0.0,0.135,0.838,0.013,0.851,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\106.jpg
587722981748703283,original,107,587722981748703283,13:18:44.94,-01:11:08.2,47,0.787,0.0,0.043,0.085,0.043,0.043,0.128,0.655,0.246,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\107.jpg
587722981748703487,original,108,587722981748703487,13:19:01.73,-01:08:39.0,26,0.923,0.0,0.0,0.038,0.038,0.0,0.038,0.861,0.096,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\108.jpg
587722981748703506,original,109,587722981748703506,13:19:07.53,-01:07:05.4,33,0.545,0.03,0.0,0.333,0.091,0.0,0.364,0.267,0.61,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\109.jpg
587722981748768912,original,110,587722981748768912,13:19:21.27,-01:08:25.1,33,0.364,0.091,0.182,0.333,0.03,0.0,0.606,0.104,0.856,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\110.jpg
587722981748768945,original,112,587722981748768945,13:19:29.86,-01:08:43.7,63,0.921,0.016,0.0,0.032,0.032,0.0,0.048,0.917,0.051,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\112.jpg
587722981748834455,original,114,587722981748834455,13:20:08.80,-01:03:22.8,28,0.071,0.0,0.643,0.286,0.0,0.0,0.929,0.032,0.968,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\114.jpg
587722981748834475,original,115,587722981748834475,13:20:15.05,-01:08:45.3,26,0.5,0.0,0.0,0.462,0.0,0.038,0.462,0.252,0.7,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\115.jpg
587722983355384011,original,1000,587722983355384011,12:42:40.03,+00:09:25.9,25,0.88,0.04,0.0,0.08,0.0,0.0,0.12,0.687,0.313,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1000.jpg
587722983355514897,original,1001,587722983355514897,12:43:53.90,+00:10:00.3,61,0.098,0.0,0.016,0.885,0.0,0.0,0.902,0.054,0.946,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1001.jpg
587722983355514966,original,1002,587722983355514966,12:44:14.51,+00:06:34.4,28,0.0,0.0,0.964,0.0,0.0,0.036,0.964,0.0,0.964,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1002.jpg
